participant_id,account_status,movement,baseline_source_exercise,followup_source_exercise,horizon,baseline_level,followup_level,levels_gained,baseline_ratio,followup_ratio
WSP-F148A8C19A,active,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Live,Live,0,0.821,0.89
WSP-F148A8C19A,active,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Below Live,Live,1,0.147,0.66
WSP-F148A8C19A,active,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,24 months (600-900d),Below Live,Live,1,0.147,0.687
WSP-F148A8C19A,active,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,6 months (120-240d),Below Live,Below Live,0,0.147,0.197
WSP-74F1CDA5E1,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.404,0.358
WSP-0F776FC732,active,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Long,Long,0,1.689,1.812
WSP-0F776FC732,active,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Long,Long,0,1.689,1.836
WSP-0F776FC732,active,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Long,Live,-1,1.267,1.159
WSP-0F776FC732,active,Nexus Point Squat,Nexus Point Squat,Barbell Front Squat,6 months (120-240d),Long,Live,-1,1.267,0.866
WSP-D408964823,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Long,1,0.576,0.772
WSP-F384938133,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.4,0.628
WSP-F384938133,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,24 months (600-900d),Live,Live,0,0.4,0.63
WSP-F384938133,deactivated,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.4,0.581
WSP-F384938133,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Below Live,Live,1,0.422,1.105
WSP-F384938133,deactivated,Nexus Point Squat,Nexus Point Squat,Barbell Front Squat,24 months (600-900d),Below Live,Live,1,0.422,0.675
WSP-F384938133,deactivated,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,6 months (120-240d),Below Live,Live,1,0.422,0.739
WSP-ACF22DFC36,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.297,0.512
WSP-ACF22DFC36,active,Bench Press,Barbell Bench Press,Barbell Bench Press,24 months (600-900d),Live,Live,0,0.297,0.441
WSP-ACF22DFC36,active,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Live,0,0.908,0.717
WSP-89E2851F63,active,Bench Press,Barbell Bench Press,Barbell Bench Press,24 months (600-900d),Live,Live,0,0.452,0.476
WSP-89E2851F63,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.452,0.473
WSP-89E2851F63,active,Deadlift,Barbell Deadlift,Barbell Deadlift,24 months (600-900d),Live,Live,0,0.835,1.229
WSP-89E2851F63,active,Lat Pulldown,Underhand Grip Lat Pulldown,Underhand Grip Lat Pulldown,24 months (600-900d),Live,Long,1,0.699,1.116
WSP-89E2851F63,active,Lat Pulldown,Underhand Grip Lat Pulldown,Underhand Grip Lat Pulldown,6 months (120-240d),Live,Long,1,0.699,0.743
WSP-5BD4C15BD0,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.518,0.594
WSP-5BD4C15BD0,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.518,0.535
WSP-5BD4C15BD0,active,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Live,Live,0,0.863,1.085
WSP-5BD4C15BD0,active,Lat Pulldown,Underhand Grip Lat Pulldown,Underhand Grip Lat Pulldown,12 months (300-450d),Long,Long,0,1.091,0.972
WSP-5BD4C15BD0,active,Lat Pulldown,Underhand Grip Lat Pulldown,Underhand Grip Lat Pulldown,6 months (120-240d),Long,Long,0,1.091,1.05
WSP-5BD4C15BD0,active,Nexus Point Squat,Nexus Point Squat,Nexus Point Squat,12 months (300-450d),Below Live,Live,1,0.097,0.605
WSP-5BD4C15BD0,active,Nexus Point Squat,Nexus Point Squat,Barbell Front Squat,6 months (120-240d),Below Live,Below Live,0,0.097,0.328
WSP-AB0A6E5C81,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.326,0.563
WSP-AB0A6E5C81,active,Bench Press,Barbell Bench Press,Barbell Bench Press,6 months (120-240d),Live,Live,0,0.326,0.487
WSP-AB0A6E5C81,active,Deadlift,Barbell Deadlift,Barbell Deadlift,6 months (120-240d),Below Live,Live,1,0.445,0.609
WSP-AB0A6E5C81,active,Nexus Point Squat,Barbell Front Squat,Barbell Front Squat,12 months (300-450d),Below Live,Live,1,0.222,0.53
WSP-AB0A6E5C81,active,Nexus Point Squat,Barbell Front Squat,Barbell Front Squat,6 months (120-240d),Below Live,Below Live,0,0.222,0.325
WSP-92A400FCFF,active,Bench Press,Barbell Bench Press,Barbell Bench Press,12 months (300-450d),Live,Live,0,0.554,0.68
WSP-92A400FCFF,active,Deadlift,Barbell Deadlift,Barbell Deadlift,12 months (300-450d),Below Live,Live,1,0.311,1.144
